الفترة,القائمة المالية,الفئة,البند,القيمة,الفرع,مركز التكلفة,العميل,نوع التدفق النقدي,الموازنة
2023,قائمة الدخل,الإيرادات,إيرادات الخدمات,410000,الرئيسي,الإدارة,عميل أ,تشغيلي,430000
2023,قائمة الدخل,الإيرادات,إيرادات أخرى,55000,الرئيسي,الإدارة,عميل ب,تشغيلي,50000
2023,قائمة الدخل,المصروفات,الرواتب,185000,الرئيسي,الإدارة,,تشغيلي,180000
2023,قائمة الدخل,المصروفات,الإيجارات,42000,الرئيسي,الإدارة,,تشغيلي,40000
2023,قائمة الدخل,المصروفات,الخدمات,31000,الرئيسي,التشغيل,,تشغيلي,30000
2023,التدفقات النقدية,استثماري,شراء أصول,60000,الرئيسي,التشغيل,,استثماري,50000
2023,التدفقات النقدية,تمويلي,تمويل جديد,50000,الرئيسي,الإدارة,,تمويلي,50000
2023,الميزانية,الأصول,النقدية,42000,الرئيسي,,,,0
2023,الميزانية,الأصول,المخزون,35000,الرئيسي,,,,0
2023,الميزانية,الأصول,إجمالي الأصول المتداولة,150000,الرئيسي,,,,0
2023,الميزانية,الأصول,إجمالي الأصول,500000,الرئيسي,,,,0
2023,الميزانية,الخصوم,إجمالي الخصوم المتداولة,90000,الرئيسي,,,,0
2023,الميزانية,الخصوم,إجمالي الخصوم,230000,الرئيسي,,,,0
2023,الميزانية,حقوق الملكية,حقوق الملكية,270000,الرئيسي,,,,0
2024,قائمة الدخل,الإيرادات,إيرادات الخدمات,485000,الرئيسي,الإدارة,عميل أ,تشغيلي,470000
2024,قائمة الدخل,الإيرادات,إيرادات أخرى,64000,فرع 2,الإدارة,عميل ب,تشغيلي,60000
2024,قائمة الدخل,المصروفات,الرواتب,205000,الرئيسي,الإدارة,,تشغيلي,200000
2024,قائمة الدخل,المصروفات,الإيجارات,45000,الرئيسي,الإدارة,,تشغيلي,44000
2024,قائمة الدخل,المصروفات,الخدمات,39000,فرع 2,التشغيل,,تشغيلي,35000
2024,التدفقات النقدية,استثماري,شراء أصول,35000,الرئيسي,التشغيل,,استثماري,40000
2024,التدفقات النقدية,تمويلي,سداد تمويل,-30000,الرئيسي,الإدارة,,تمويلي,-25000
2024,الميزانية,الأصول,النقدية,52000,الرئيسي,,,,0
2024,الميزانية,الأصول,المخزون,41000,الرئيسي,,,,0
2024,الميزانية,الأصول,إجمالي الأصول المتداولة,172000,الرئيسي,,,,0
2024,الميزانية,الأصول,إجمالي الأصول,545000,الرئيسي,,,,0
2024,الميزانية,الخصوم,إجمالي الخصوم المتداولة,96000,الرئيسي,,,,0
2024,الميزانية,الخصوم,إجمالي الخصوم,244000,الرئيسي,,,,0
2024,الميزانية,حقوق الملكية,حقوق الملكية,301000,الرئيسي,,,,0
2025,قائمة الدخل,الإيرادات,إيرادات الخدمات,575000,الرئيسي,الإدارة,عميل أ,تشغيلي,550000
2025,قائمة الدخل,الإيرادات,إيرادات أخرى,82000,فرع 2,الإدارة,عميل ج,تشغيلي,75000
2025,قائمة الدخل,المصروفات,الرواتب,238000,الرئيسي,الإدارة,,تشغيلي,225000
2025,قائمة الدخل,المصروفات,الإيجارات,48000,الرئيسي,الإدارة,,تشغيلي,47000
2025,قائمة الدخل,المصروفات,الخدمات,47000,فرع 2,التشغيل,,تشغيلي,42000
2025,التدفقات النقدية,استثماري,شراء أصول,72000,الرئيسي,التشغيل,,استثماري,60000
2025,التدفقات النقدية,تمويلي,تمويل جديد,25000,الرئيسي,الإدارة,,تمويلي,20000
2025,الميزانية,الأصول,النقدية,68000,الرئيسي,,,,0
2025,الميزانية,الأصول,المخزون,47000,الرئيسي,,,,0
2025,الميزانية,الأصول,إجمالي الأصول المتداولة,205000,الرئيسي,,,,0
2025,الميزانية,الأصول,إجمالي الأصول,610000,الرئيسي,,,,0
2025,الميزانية,الخصوم,إجمالي الخصوم المتداولة,105000,الرئيسي,,,,0
2025,الميزانية,الخصوم,إجمالي الخصوم,265000,الرئيسي,,,,0
2025,الميزانية,حقوق الملكية,حقوق الملكية,345000,الرئيسي,,,,0
